model,vendor,condition,rep,strict_files,union_files,unique_files,ts_files,test_files,has_package,tsc_errors,eslint,cves,layer_violations,layer_per_ts,coverage_pct,tokens_out,cost_usd
claude-copilot,anthropic,control,0,,,,40,9,true,0,1,0,0,0,,,
claude-copilot,anthropic,control,1,,,,40,9,true,0,1,0,0,0,,,
claude-copilot,anthropic,control,2,,,,43,10,true,0,1,0,0,0,,,
claude-copilot,anthropic,control,3,,,,43,10,true,0,1,0,0,0,,,
claude-copilot,anthropic,control,4,,,,37,7,true,2,1,0,0,0,,,
claude-copilot,anthropic,naive,0,,,,20,1,true,0,9,0,0,0,,,
claude-copilot,anthropic,naive,1,,,,16,1,true,0,4,0,0,0,,,
claude-copilot,anthropic,naive,2,,,,16,1,true,0,13,0,38,2.375,,,
claude-copilot,anthropic,naive,3,,,,14,1,true,0,4,0,36,2.571,,,
claude-copilot,anthropic,naive,4,,,,18,1,true,0,0,0,38,2.111,,,
claude-copilot,anthropic,treatment,0,,,,58,14,true,0,0,10,0,0,,,
claude-copilot,anthropic,treatment,1,,,,53,9,true,0,1,10,0,0,,,
claude-copilot,anthropic,treatment,2,,,,54,12,true,0,1,10,0,0,,,
claude-copilot,anthropic,treatment,3,,,,58,13,true,2,1,10,0,0,,,
claude-copilot,anthropic,treatment,4,,,,58,16,true,0,3,10,0,0,,,
gemini-google,?,control,0,,,,53,15,true,0,4,0,0,0,,,
gemini-google,?,control,1,,,,40,9,true,0,12,0,0,0,,,
gemini-google,?,control,2,,,,41,10,true,0,1,0,0,0,,,
gemini-google,?,control,3,,,,56,16,true,0,5,0,0,0,,,
gemini-google,?,control,4,,,,41,9,true,1,3,0,0,0,,,
gemini-google,?,naive,0,,,,26,5,true,1,16,0,0,0,,,
gemini-google,?,naive,1,,,,21,5,true,0,39,0,0,0,,,
gemini-google,?,naive,2,,,,19,5,true,0,10,0,38,2,,,
gemini-google,?,naive,3,,,,15,5,true,0,35,0,42,2.8,,,
gemini-google,?,naive,4,,,,16,1,true,0,28,2,0,0,,,
gemini-google,?,treatment,0,,,,44,11,true,0,16,8,0,0,,,
gemini-google,?,treatment,1,,,,49,11,true,0,83,9,0,0,,,
gemini-google,?,treatment,2,,,,52,11,true,0,22,10,0,0,,,
gemini-google,?,treatment,3,,,,44,11,true,0,24,9,0,0,,,
gemini-google,?,treatment,4,,,,44,11,true,0,17,8,0,0,,,
gpt-openai,?,control,0,,,,44,12,true,21,2,3,0,0,,,
gpt-openai,?,control,1,,,,47,12,true,16,1,3,0,0,,,
gpt-openai,?,control,2,,,,51,13,true,17,1,3,0,0,,,
gpt-openai,?,control,3,,,,36,10,true,26,1,3,0,0,,,
gpt-openai,?,control,4,,,,39,10,true,32,1,3,0,0,,,
gpt-openai,?,naive,0,,,,14,1,true,20,1,5,35,2.5,,,
gpt-openai,?,naive,1,,,,20,1,true,27,1,5,0,0,,,
gpt-openai,?,naive,2,,,,22,2,true,0,1,5,0,0,,,
gpt-openai,?,naive,3,,,,15,2,true,21,2,8,29,1.933,,,
gpt-openai,?,naive,4,,,,13,1,true,17,2,5,31,2.385,,,
gpt-openai,?,treatment,0,,,,40,9,true,11,2,9,0,0,,,
gpt-openai,?,treatment,1,,,,45,6,true,1,7,9,0,0,,,
gpt-openai,?,treatment,2,,,,54,6,true,0,3,9,0,0,,,
gpt-openai,?,treatment,3,,,,47,6,true,12,2,9,0,0,,,
gpt-openai,?,treatment,4,,,,40,7,true,0,3,9,0,0,,,
llama3-1-8b,ollama-local,naive,0,0,20,20,,,,,,,,,,9681,
