id,project,condition,classification,lizard_avg_ccn,lizard_max_ccn,lizard_avg_nloc,lizard_total_nloc,lizard_fn_count,lizard_high_ccn_count,test_nloc,test_code_ratio,executable_passed,executable_total,executable_score,mutation_score
P001-taskflow,taskflow,B,analyzable,1.39,3,7.52,248,33,0,0,0,8,10,3,
P002-vaquita,vaquita,B,analyzable,1.33,11,5.84,940,161,1,392,0.417,3,10,1,
P003-vaquita,vaquita,A,analyzable,1.46,8,11.83,1112,94,0,489,0.44,10,10,3,
P003-taskflow,taskflow,B,analyzable,1.57,8,8.58,995,116,0,264,0.265,9,10,3,
P004-vaquita,vaquita,B,analyzable,1.3,7,8.91,1399,157,0,465,0.332,0,10,0,
P004-taskflow,taskflow,A,analyzable,1.56,10,10,950,95,0,561,0.591,8,10,3,
P006-vaquita,vaquita,B,analyzable,1.63,6,8.59,1142,133,0,712,0.623,0,10,0,
P006-taskflow,taskflow,B,analyzable,1.23,3,6.33,462,73,0,522,1.13,8,10,3,
P007-vaquita,vaquita,A,analyzable,1.58,7,7.54,814,108,0,255,0.313,4,10,2,
P007-taskflow,taskflow,B,analyzable,1.44,9,6.42,726,113,0,0,0,10,10,3,
P008-vaquita,vaquita,B,analyzable,1.53,11,10.22,1963,192,1,630,0.321,4,10,2,
P009-vaquita,vaquita,A,analyzable,1.62,11,7.74,766,99,1,172,0.225,10,10,3,
P010-vaquita,vaquita,B,analyzable,1.62,9,8.84,1078,122,0,526,0.488,7,10,2,
P010-taskflow,taskflow,A,analyzable,1.19,7,7.41,1452,196,0,1149,0.791,7,10,2,
P011-vaquita,vaquita,A,analyzable,1.38,7,6.84,1142,167,0,679,0.595,0,10,0,
P011-taskflow,taskflow,B,analyzable,1.29,4,6.49,454,70,0,248,0.546,0,10,0,
P012-vaquita,vaquita,B,analyzable,1.91,11,9.17,605,66,1,0,0,5,10,2,
P012-taskflow,taskflow,A,analyzable,1.58,7,7.68,307,40,0,182,0.593,8,10,3,
P013-vaquita,vaquita,A,analyzable,1.63,12,13.68,1983,145,2,797,0.402,4,10,2,
P013-taskflow,taskflow,B,analyzable,1.46,8,6.24,724,116,0,0,0,9,10,3,
P015-vaquita,vaquita,A,analyzable,1.5,7,7.14,949,133,0,402,0.424,3,10,1,
P016-vaquita,vaquita,B,analyzable,1.54,7,7.56,938,124,0,285,0.304,4,10,2,
P016-taskflow,taskflow,A,analyzable,1.28,7,6.09,499,82,0,258,0.517,8,10,3,
P017-vaquita,vaquita,A,analyzable,1.54,7,8.84,1096,124,0,399,0.364,10,10,3,
P017-taskflow,taskflow,B,analyzable,1.63,3,6.53,248,38,0,10,0.04,6,10,2,
